Date,Dynamic Risk Averse,Dynamic Risk Neutral,Dynamic Risk Loving,60/40 SPY-TLT,SPY
2013-06-14,99.11538697888743,99.24254291973429,99.10722275711649,99.5289719052291,99.37273681987998
2013-06-17,99.7531473914527,99.75939302869561,99.68511523987411,99.78021181543978,100.140032564751
2013-06-18,100.21113624264659,100.4247178544454,100.1812349165591,100.27465536462957,100.9317392366192
2013-06-19,99.206840050416,99.05947605774777,99.08799545567612,99.02910049179148,99.53715733663807
2013-06-20,96.56129767951992,96.43460602272755,96.47663495500296,96.90669929653338,97.07076917280158
2013-06-21,96.61461219473317,96.54581330168453,96.51597218446489,96.43600923784876,97.38240193872157
2013-06-24,95.41051539101646,95.44641737613472,95.33887560581424,95.86503119331476,96.15193039313196
2013-06-25,96.51670901350523,96.50661987218517,96.41590861041705,96.07630680045006,97.0763291204094
2013-06-26,96.65775461735124,97.07061654381683,96.64267388144133,96.89640829303889,98.03746485688075
2013-06-27,97.13482584555767,97.7557981227997,97.16762793810094,97.63387289383434,98.6128964593013
2013-06-28,97.21706790601925,97.88206977665568,97.26239285374879,97.66091222479024,98.20890423311897
2013-07-01,97.62766366095404,98.27579429228213,97.67071822874546,98.0829555651379,98.78435881052962
2013-07-02,97.47167676680805,98.24658677872533,97.54885800569643,98.00333503668313,98.69250480004982
2013-07-03,97.28226817384858,97.97437091559536,97.30436915671697,97.91167719420577,98.73537613160444
2013-07-05,98.22751645452317,98.84856081444782,98.22108663629186,97.21043844696074,99.8006115482869
2013-07-08,98.39025717720574,99.2031316026172,98.5073907444271,97.92006623711546,100.36994329083191
2013-07-09,99.28560007768394,100.24156026836353,99.41199543504507,98.3830771008515,101.09232293002808
2013-07-10,99.55814021185572,100.26857735785863,99.60511370775933,98.0967610395003,101.12909440170714
2013-07-11,100.9639709367342,101.7625019973534,100.99102824019475,99.3587549606607,102.5065599340526
2013-07-12,101.4642134979587,101.97070462138412,101.45241022431702,99.35049705723394,102.54937382813192
2013-07-15,101.66303983820146,102.51004367176118,101.7791237488424,99.7885163128249,102.94118930955332
2013-07-16,101.49457228921746,102.33364797130116,101.58210016335177,99.70057810849089,102.55549666299757
2013-07-17,101.40650117045236,102.25978771097917,101.49597558031805,99.92752459720353,102.81875558723041
2013-07-18,101.74517319691437,102.71019706470574,101.86304316659023,99.75657277195819,103.38196449490977
2013-07-19,101.7746715760002,102.98564003504076,102.0134323989643,100.4939228835278,103.56560359089906
2013-07-22,102.08562961741838,103.25247568226035,102.34431120918386,100.67046287469164,103.76765714146552
2013-07-23,101.9537730921917,103.00811618143055,102.21934688984713,100.37279743502681,103.54726954878728
2013-07-24,101.41529174554249,102.27202261486607,101.64004757614198,99.64325132242243,103.16767676210708
2013-07-25,101.66564891051846,102.50596140573087,101.86697064545996,99.77388482301673,103.41869001660862
2013-07-26,101.95871758824124,102.77955512502336,102.16242635199436,100.0827418894044,103.52888955669526
2013-07-29,101.62878205950392,102.49193322446501,101.85826530186255,99.60561669066108,103.21050214368144
2013-07-30,102.04008191036445,102.78717782430931,102.21268163326307,99.59078100953445,103.21050214368144
2013-07-31,102.08958895256957,102.80259876821567,102.25634046089989,99.77812057802606,103.28402211204948
2013-08-01,103.74947526202507,104.42422321453087,103.90273633931477,99.70102617715015,104.47776813594025
2013-08-02,103.63467546939786,104.20492771680226,103.75866376341976,100.2417740806688,104.65531885954904
2013-08-05,103.59207610916697,104.10199128574298,103.74300725176934,99.8451462378554,104.50227096289791
2013-08-06,102.93121638648898,103.63210386735663,103.15705591714648,99.62188394288775,103.9084708558804
2013-08-07,102.56899431370685,103.05928964452187,102.7501191415949,99.72512297078683,103.5717494007548
2013-08-08,103.31484479767536,103.8417449012845,103.53701601940217,100.05271821467959,103.95129623745476
2013-08-09,103.02486256686971,103.84853216385783,103.36003204019404,99.94301201329745,103.65133476651319
2013-08-12,103.34519126950148,104.22942265654127,103.6941261545739,99.60009979935354,103.52888955669523
2013-08-13,103.7333958381339,104.34043641854554,103.99475728938927,99.20086407982845,103.83498534999754
2013-08-14,104.04011445915987,104.1341004237166,104.19200432939562,98.95603666364894,103.30237912915136
2013-08-15,102.83740388525229,102.91146813059046,103.03521599253536,97.59107912913913,101.8575739007788
2013-08-16,102.39894218775451,102.32670254536578,102.54501087951917,97.26204662190672,101.52087542064334
2013-08-19,101.74203716056395,101.69069742306398,101.89158718763314,96.55031156349763,100.87195831233993
2013-08-20,102.36008294445737,102.33008567714133,102.49572577053769,97.13281969549558,101.36785049898229
2013-08-21,102.16259744172153,102.00287547591205,102.27051791530866,96.34863754404222,100.74341324264641
2013-08-22,103.05199847440996,102.93508595630578,103.1702334875361,97.26800246310704,101.66167764756315
2013-08-23,103.47593742800163,103.32841390085956,103.60658209050672,97.88719861513843,102.00451045005934
2013-08-26,103.26020023973838,103.06476179983028,103.3201180111125,97.86390381290686,101.62497510085441
2013-08-27,101.5301467630227,101.63831438946913,101.72747381773392,97.41241932289131,99.99036199164671
2013-08-28,101.6480268979997,101.73162417637383,101.76889540383254,97.30428355030817,100.34549790134948
2013-08-29,101.97330151047319,102.04361190399092,102.07639509995406,97.70742402281356,100.50462268288605
2013-08-30,101.53397641648465,101.64555594744944,101.67610438744515,97.47755087719301,100.18628121985248
2013-09-03,101.78207148873379,101.87221657044161,101.92172884001876,97.19205887643737,100.63929058744519
2013-09-04,103.00433637065571,102.88189786138975,103.05563827231936,97.58870673951792,101.47190422921317
2013-09-05,103.25559582313444,103.11554550244213,103.28655698843059,97.11860070081619,101.60047227389677
